GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Banks,992
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Barrow,993
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Bartow,994
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Butts,588
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Carroll,620
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Catoosa,626
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Chattooga,659
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Cherokee,662
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Clarke,666
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Cobb,680
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Dawson,713
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),DeKalb,718
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Elbert,746
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Fannin,755
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Floyd,764
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Forsyth,768
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Franklin,772
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Fulton,779
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Douglas,731
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Gilmer,781
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Gordon,796
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Greene,800
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Gwinnett,804
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Habersham,806
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Hall,808
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Haralson,813
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Hart,816
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Henry,820
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Jackson,828
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Jasper,830
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Jones,839
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Lamar,841
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Lumpkin,865
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Monroe,885
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Newton,899
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Oconee,901
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Oglethorpe,905
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Paulding,908
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Pickens,912
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Pike,7
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Rabun,18
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Rockdale,28
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Spalding,41
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Stephens,45
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Taliaferro,60
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Union,120
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Walker,126
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Upson,123
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Walton,127
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),White,157
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Wilkes,167
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Alamance,1967
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Cabarrus,1426
