County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over,FID
Alabama,Autauga,48.59,51.41,8.48,21.57,7.67,12.02,17.56,12.9,9.6,6.14,4.05,80.65,17.11,0.44,0.46,0.03,0.38,0.93,1.4,79.74,28.69,30.2,22.93,10.57,7.59,5
Alabama,Baldwin,49.03,50.97,7.38,18.3,7.27,11.08,15.6,13.97,10.95,8.8,6.66,87.15,10.29,0.58,0.38,0.03,0.54,1.04,1.76,86.08,28.97,32.41,19.71,9.42,9.49,20
Alabama,Barbour,51.55,48.45,7.54,19.19,9.27,12.7,15.61,13.53,8.83,7.02,6.32,51.27,46.32,0.45,0.29,0.03,0.91,0.73,1.65,50.93,49.84,27.03,12.58,5.52,5.03,25
Alabama,Bibb,51.59,48.41,8.38,18.32,9.83,13.93,15.25,13.08,9.61,6.36,5.23,76.66,22.2,0.24,0.08,0.01,0.29,0.51,1.01,76.2,41.22,31.56,16.27,7.44,3.52,29
Alabama,Blount,49.93,50.07,8.36,18.29,8.38,12.79,15.18,13.54,10.6,7.38,5.47,95.08,1.19,0.49,0.14,0.02,2.07,1.02,5.33,92.11,33.51,33.89,19.87,7.71,5.01,33
Alabama,Bullock,52.42,47.58,7.84,19.56,10.33,12.34,15.58,12.85,8.34,5.89,7.28,25.25,73.11,0.38,0.18,0.02,0.37,0.7,2.75,23.6,57.35,25.62,10.19,4.26,2.58,37
Alabama,Butler,46.82,53.18,7.65,20.83,7.89,9.99,14.21,13.48,9.56,8.22,8.16,58.38,40.81,0.21,0.16,0,0.05,0.39,0.67,58.08,50.39,28.15,12.1,4.57,4.78,39
Alabama,Calhoun,47.84,52.16,7.44,17.64,10.15,11.58,14.99,14.23,9.83,7.97,6.17,78.88,18.54,0.4,0.56,0.07,0.59,0.96,1.56,78.04,39.91,31.6,16.28,6.29,5.93,43
Alabama,Chambers,47.25,52.75,8.19,17.88,8.42,11.78,13.99,13.58,9.95,8.18,8.03,60.88,38.11,0.13,0.19,0,0.12,0.57,0.77,60.44,43.01,32.99,15.83,4.85,3.32,47
Alabama,Cherokee,49.17,50.83,7.28,16.02,7.66,11.97,14.49,14.28,12.37,9.44,6.47,92.83,5.54,0.31,0.14,0,0.35,0.83,0.85,92.4,40.63,34.61,15.3,5.82,3.64,51
Alabama,Chilton,49.46,50.54,8.31,18.59,9.22,12.49,15.15,13.27,10.09,7.25,5.63,86.71,10.61,0.28,0.18,0.02,1.51,0.69,2.91,85.61,37.12,33.29,18.21,7.41,3.96,56
Alabama,Choctaw,47.04,52.96,8.1,19.3,7.7,10.8,14.23,13.89,11.35,7.93,6.72,55.14,44.13,0.16,0.04,0,0.11,0.42,0.67,54.79,50.33,26.28,13.08,5.36,4.95,58
Alabama,Clarke,47.3,52.7,8.9,20.74,7.96,11.59,14.85,12.47,9.98,7.31,6.2,55.94,43.02,0.22,0.16,0,0.16,0.49,0.65,55.69,46.59,25.8,15.45,7.18,4.97,61
Alabama,Clay,48.77,51.23,7.35,17.79,8.01,11.44,14.66,13.24,10.97,8.55,8,82.62,15.7,0.32,0.1,0.02,0.46,0.79,1.77,81.49,44.47,34.89,13.69,4.9,2.05,65
Alabama,Cleburne,49.83,50.17,7.44,18.24,7.87,12.58,14.88,14.23,11.07,7.83,5.86,94.74,3.7,0.3,0.14,0.01,0.34,0.77,1.4,93.71,41.08,34.38,15.92,5.09,3.53,67
Alabama,Coffee,48.84,51.16,7.46,18.66,8.85,11.67,15.08,13.97,10.16,7.71,6.44,77.11,18.37,0.91,0.95,0.09,0.89,1.67,2.71,75.6,37.1,32.09,15.99,8.23,6.59,70
Alabama,Colbert,47.85,52.15,7.42,17.68,7.91,11.59,15.07,13.93,10.96,8.32,7.13,81.52,16.62,0.37,0.24,0.02,0.34,0.89,1.12,80.88,39.57,31.74,16.01,6.89,5.79,73
Alabama,Conecuh,47.32,52.68,7.65,19.62,8.13,10.47,14.07,14,10.28,8.53,7.25,55.4,43.55,0.2,0.11,0.05,0.09,0.6,0.72,55.08,53.56,27.15,11.2,4.5,3.58,80
Alabama,Coosa,51.07,48.93,7.38,17.64,8.4,12.36,15.54,13.84,10.41,8.26,6.17,63.94,34.19,0.32,0.04,0.01,0.62,0.88,1.29,63.45,42.2,34.11,15.32,4.88,3.49,82
Alabama,Covington,47.81,52.19,7.14,17.78,7.7,10.62,14.54,13.45,10.87,9.25,8.67,86.19,12.35,0.48,0.17,0.01,0.17,0.62,0.78,85.69,47.48,29.69,13.98,4.55,4.3,88
Alabama,Crenshaw,47.3,52.7,7.32,18.63,7.84,10.71,14.45,13.83,10.11,8.53,8.58,73.82,24.79,0.37,0.11,0.01,0.2,0.7,0.64,73.49,47.39,33.46,11.04,4.41,3.7,90
Alabama,Cullman,49.32,50.68,7.62,17.97,8.8,11.97,15.05,13.54,10.41,8.01,6.63,96.81,0.96,0.37,0.18,0.03,0.62,1.03,2.18,95.43,38.1,33.93,16.37,6.06,5.54,98
Alabama,Dale,49.58,50.42,9.02,19.06,9.51,13.5,15.33,12.6,9.17,6.75,5.07,74.38,20.36,0.6,1.08,0.15,1.29,2.15,3.34,72.81,39.9,32.95,17.49,5.74,3.93,101
Alabama,Dallas,45.49,54.51,8.75,21.55,8.95,10.39,14.61,12.8,9.09,7.38,6.48,35.58,63.26,0.11,0.35,0.01,0.14,0.55,0.63,35.41,52.3,24.53,13.43,5.51,4.24,110
Alabama,DeKalb,48.89,51.11,8.15,17.86,9.27,12.74,14.99,13.36,9.87,7.51,6.27,92.55,1.68,0.8,0.19,0.06,3.1,1.62,5.55,90.67,41.72,32.75,16.1,5.11,4.33,112
Alabama,Elmore,50.61,49.39,8.03,18.9,8.92,13.69,17.02,13.9,8.82,5.89,4.85,77.02,20.64,0.43,0.36,0.03,0.48,1.04,1.22,76.47,27.3,33.06,21.78,9.67,8.19,118
Alabama,Escambia,50.66,49.34,7.57,17.94,9.54,12.22,15.39,13.53,10.19,7.27,6.36,64.4,30.79,3.01,0.24,0.03,0.4,1.13,0.99,63.93,45.87,29.88,14.27,5.15,4.83,122
Alabama,Etowah,47.85,52.15,7.73,17.46,8.52,11.83,14.34,14.09,10.02,8.48,7.53,82.87,14.68,0.33,0.42,0.03,0.73,0.93,1.7,82.08,40.3,31.18,16.53,6.42,5.58,131
Alabama,Fayette,48.31,51.69,7.28,17.93,7.95,11.25,14.23,14.04,11.24,8.34,7.75,86.92,11.93,0.21,0.15,0.01,0.27,0.51,0.82,86.48,43.63,33.23,15.16,5.28,2.7,134
Alabama,Franklin,49.1,50.9,7.69,18.11,9.25,12.4,14.31,13,10.39,8.23,6.62,89.68,4.21,0.33,0.11,0.1,4.62,0.96,7.42,87.33,46.12,29.9,14.42,5.68,3.88,138
Alabama,Geneva,48.63,51.37,6.8,18.46,7.39,11.19,14.53,13.82,11.49,8.69,7.62,87.11,10.65,0.76,0.12,0.02,0.62,0.72,1.76,86.09,47.7,30.11,14.09,4.55,3.55,140
Alabama,Greene,46.93,53.07,9.26,21.93,8.05,9.53,14.35,13.28,8.85,7.83,6.91,19.09,80.34,0.12,0.08,0,0.1,0.27,0.58,19.03,58.14,24.77,10.16,3.59,3.34,148
Alabama,Hale,47.19,52.81,9.73,21.49,8.79,10.75,14.68,12.6,8.5,6.92,6.55,39.83,58.95,0.17,0.16,0.02,0.29,0.58,0.91,39.59,48.67,28.83,14.49,4.67,3.35,150
